id,title,surface,bottom,difficulty,type
1,拿枪的酒保,一个男人走进一家酒吧，点了一杯水。酒保却突然拔出一把枪指着他。男人愣了一下，说“谢谢”，然后高兴地离开了。,这个男人患有严重的打嗝，他走进酒吧想找办法治疗。他知道酒保经验丰富，所以点了一杯水。酒保看出了他的问题，于是用拔枪恐吓的方式吓住了他，打嗝自然就止住了。所以他说谢谢。,medium,轻松
2,电梯,有一个人住在10楼。每天他出门时都会坐电梯到1楼。但当他回来时，如果电梯里有其他人，他就直接坐到10楼；如果只有他一个人，他就只坐到7楼，然后走楼梯上到10楼。,这个人是个侏儒，身高只能按到电梯里1楼的按钮。当电梯里有其他人时，他可以请别人帮忙按10楼的按钮。当他一个人时，他只能按到自己能够到的最高按钮——7楼，剩下的3层只能自己爬楼梯。,easy,轻松
3,期末考试,转学后这一个月，所有同学都认为我精神不正常，大家都排挤我。只有老师不这么想，可期末考试成绩下来后，我明白我真的不正常了…,"我天生拥有阴阳眼，但我本人却并不知道。我刚刚转学，只有同桌对我特别友好。因为我经常和不存在的人互动，其他同学都觉得我精神不正常，因此排挤我。直到我有一次在班级里叫出了同桌的名字,老师才惊恐的发现我并不是精神病,原来那个对我友好的同桌根本不是人，他是很多年前就死在这所学校的学生。其他同学看不到他。老师刚到这所学校任教的时候就听说过这件事，加上教学楼也偶尔会有一些灵异事件发生。因此她知道真相。但老师却没敢和我沟通这件事情。直到期末考试成绩发下来之后，我发现榜单上并没有同桌的名字，结合之前同学对我的态度，我终于明白我确实和正常人不一样了…
",medium,恐怖
4,牧场,"妈妈去世了，留给我一个荒废已久的牧场。第二天牧场里不知道从哪来了一只鸡,第三天又多了一头牛，第四天又多了一只羊，我很诧异。接下来一个月，牧场多了很多动物，我终于明白怎么回事了。于是我做了一个疯狂的决定。结果第二天牧场里多出了一个年轻的人，看到她后我疯了...","妈妈去世后，我继承了她的牧场，我来这里的第二天不知道从哪来了一只鸡，之后陆陆续续的多出了很多动物,经过观察我发现了这个规律，只要我第一天晚上吃下什么动物的肉,第二天牧场就会出现这个动物。原来妈妈留给我的是一个有魔力的牧场。于是我做了一个大胆的决定，我想复活妈妈，我将妈妈的骨灰吃了下去。结果第二天牧场里出现了一个和我长得一模一样的女人，我崩溃了，原来我是妈妈的复制人。她当年为了让自己以另外一种方式生存下去从而制造出来了我…",hard,恐怖
5,柜中的孩子,"深夜，我家的衣柜传来了窸窸窣窣的声音，我壮着胆子打开柜门，里面居然有一个孩子，他看着我嘿嘿的笑着“妈妈，你找到我啦～”我吓坏了，哪来的孩子。我让他立刻离开我的房子，他吓哭了，一直叫我妈妈。仔细看他和我前夫的确有几分相似。但我自从几年前流产后就没有了生育能力,也离了婚。他告诉我他还有一个双胞胎弟弟,甚至叫出了我和前夫的名字,他带着哭腔问我“你真不记得我了吗？”","八年前,地球轨迹偏移，与平行的世界发生了交错,一个孕妇腹中的胎儿偏移到平行世界同位体的腹中。她误认为流产，而后家庭破碎。另一位误认为双生。从此家庭美满。至此，两个世界不再平行，直到八年后，某些原因校正了偏移，试图强制令两个世界重新平行。",easy,悬疑
6,上楼梯,"深夜黑漆漆，女孩上楼梯。背后两个人？背后一个人。","女孩住在没有电梯的老旧小区里，某天半夜她爬楼梯回家时，听到背后传来脚步声，一个像是皮鞋，一个像是高跟鞋，似乎是有两个人。但她总感觉不对劲，当她一回头，发现一个男子正四肢着地，脚上穿着皮鞋，手上套着高跟鞋，模拟两个人的脚步声跟着她……",easy,悬疑
7,高跟鞋,"一位女士去鞋店里买了一双红色高跟鞋，然后今晚就死亡了。","女士是杂技团的一名演员，那天她去买了一双红色的高跟鞋。晚上她穿着这双高跟鞋就去马戏团上班了，她的工作是头顶苹果，配合另外一名男演员表演小李飞刀。结果因为她的高跟鞋，她比平时高出了几公分，没有调整过来的男演员失手将刀插到了她的脑袋上。",easy,悬疑
8,怀孕的哥哥,"哥哥怀孕了，怀的是妈妈","哥哥啤酒肚越发明显，于是我调侃哥哥道：“哥哥，你是怀孕了吗？”，哥哥说“我怀你妈”",easy,搞笑
9,隔壁的声响,"一个人在家时，我突然听见隔壁邻居家传来一声响。我过去敲门问是否需要帮忙，邻居打开门说不用，我马上报警了。","隔壁邻居住了一个妈妈和她儿子，这天儿子调皮捣乱在地上洒满了水，妈妈路过时不小心摔倒撞到后脑勺而亡。我听见声响过来敲门，儿子觉得是自己害死了妈妈非常害怕，于是举着妈妈的尸体来开门，并假扮妈妈的声音回答没事。我听见这个声音不对，立马报警了。",medium,悬疑
10,牛吃草,"有个男人住在郊外，附近只有一户养牛的夫妇。他的房子和邻居夫妇的房子中间隔着一片草坪。有一天深夜，男人被喧闹声吵醒，然后就听见牛叫、牛撞栅栏、牛吃草的声音，随后又听见有东西在撞自己家门。第二天，警察敲响了男人家的门。","邻居夫妇因为一些矛盾在家中吵架，妻子开始在家里砸东西、大喊大叫。丈夫一时间怒火攻心，拿起斧子砍掉妻子四肢、割断舌头，让她不能打砸、喊叫。回过神发现自己犯下罪过的丈夫自杀，奄奄一息的妻子发出痛苦的嚎叫（牛叫）、撞开家门（牛撞栅栏）、用嘴在地上咬着草皮前进来到年轻男人的家门（牛吃草），试图用身体撞门求助，最后因为无人援助、失血过多而死。",hard,恐怖
11,盲人,"一个盲人过生日的时候，他的好伙伴们来一起为他庆生，他吹完蜡烛唱完生日歌后，大家为其鼓掌和祝福，听到掌声的盲人把他们都杀了。","盲人和朋友曾经一起去探险，一段时间后没有了食物，因为盲人看不见，所以这帮朋友都骗他说每人砍下一只手来吃，可最后只砍了盲人一个人的手。之后有一次盲人邀请朋友们来参加自己的生日聚会，吹完蜡烛后所有人都鼓掌了，男主发现只有自己的手被砍下来吃了，男主无法忍受这样的欺骗于是杀了所有的好朋友。",medium,悬疑
12,一人不进庙,"小时候爷爷经常告诉我“一人不进庙，二人不看井”，长大后，我跟新婚不久的丈夫回乡祭拜去世的爷爷，才理解了这句话。","我和丈夫深夜回乡祭拜去世的爷爷，半路上车却陷在了下过雨后泥泞的小路上，看到前面有一座寺庙，丈夫便去看看有没有人能够帮忙。过了很久丈夫都没回来，于是我去寺庙寻他，看到“丈夫”正在往一口枯井里张望什么。我走上前去挽住他的手，边往下看问道“你在看什么呢？”突然，我看到丈夫浑身是血赤裸着躺在井底，而我转过头，发现自己挽着的“丈夫”是个穿着他衣服的陌生人，丈夫已经被他杀害。",hard,恐怖
13,绿牙,"男子清晨起来刷牙，发现自己牙齿冒着绿色荧光，吓疯了。","男子是太平间的看管人，最近太平间经常丢失尸体，于是男子报了警。警方在每一具尸体上涂抹荧光粉来追踪尸体去向，然而再次有尸体消失时，警方仍没有发现尸体被运出太平间的线索。当男子早上起来刷牙时，发现自己牙齿冒着荧光，原来是男子患有梦游异食癖，半夜起来把尸体吃了……",medium,悬疑
14,跳舞的她,"她站在原地跳舞，微笑看着同伴一个一个死去。","她是植物大战僵尸里的向日葵，微笑站在原地跳舞摆动制造阳光，其余同伴在前面阻挡或者消灭僵尸而牺牲。",medium,休闲
